Year,Ethiopia,Mozambique,Nigeria,Tunisia,Global
1960,22.59,23.82,26.87,19.78,51.9
1961,22.3,24,26.28,19.67,52.3
1962,22.36,23.77,26.68,19.37,50.6
1963,22.56,23.27,27.02,19.33,50.9
1964,22.15,23.47,26.66,19.41,48.3
1965,22.54,23.25,26.56,19.36,50.5
1966,22.65,23.88,26.81,19.52,52.4
1967,22.14,23.76,26.55,19.41,51.9
1968,22.17,23.58,26.78,19.6,50.3
1969,22.89,24.07,27.3,19.14,52
1970,22.81,24.1,26.91,19.42,51.6
1971,22.3,23.64,26.45,19.09,50.5
1972,22.75,23.63,26.84,18.97,52.3
1973,23.12,23.84,27.19,19.3,51.4
1974,22.49,23.29,26.34,19.08,52.9
1975,22.61,23.45,26.27,19.09,50.8
1976,22.92,23.49,26.43,18.59,51.6
1977,22.91,23.99,26.54,19.89,53.2
1978,22.94,23.71,26.59,19.08,53.3
1979,23.07,23.75,26.88,19.57,52.7
1980,23.37,23.69,26.91,18.84,52.8
1981,22.72,23.35,26.9,19.76,54.3
1982,22.86,23.68,26.99,20.15,51
1983,23.08,24.52,27.11,19.91,53.5
1984,22.9,23.86,27.23,19.33,51
1985,22.76,23.66,27.01,20,51.9
1986,22.95,23.75,27.04,19.94,52.7
1987,23.15,24.33,27.38,20.15,53.4
1988,22.97,24.01,26.86,20.4,53.3
1989,22.45,23.7,26.39,20.1,52.2
1990,23.04,24.08,27.2,20.32,53.4
1991,23.13,24.04,26.96,19.32,51.8
1992,22.79,24.59,26.59,19.39,53.6
1993,22.82,24.24,26.96,19.88,50.3
1994,22.91,23.99,26.75,20.85,54.7
1995,23.11,24.5,27.05,20.16,53.9
1996,23.14,24.11,27.13,19.91,54.3
1997,23.13,24.18,27.14,20.64,53.4
1998,23.38,24.6,27.51,20.17,52.9
1999,22.82,24.04,27.12,20.99,53.3
2000,23.15,23.91,26.92,20.5,53.7
2001,23.28,24.18,27.11,20.97,53.8
2002,23.72,24.34,27.28,20.67,52
2003,23.46,24.45,27.38,20.92,55
2004,23.4,24.36,27.38,20.33,52.1
2005,23.5,24.99,27.5,20.19,53.4
2006,23.42,24.48,27.47,20.76,53.8
2007,23.32,24.54,27.45,20.59,53.8
2008,23.25,24.36,27.09,20.63,51.9
2009,23.95,24.42,27.75,20.54,52.1
2010,23.67,24.78,27.86,20.77,52.7
2011,23.57,24.27,27.49,20.46,51.8
2012,23.38,24.36,27.3,20.94,56.6
2013,23.73,24.27,27.51,20.63,53.3
2014,23.5,24.39,27.61,21.1,55.6
2015,23.94,24.77,27.38,20.79,56.3
2016,23.92,24.67,27.79,21.05,56.2
2017,23.65,24.43,27.46,20.72,56.1
2018,23.27,24.56,27.41,20.72,56.2
2019,23.41,24.81,27.29,20.73,53.6
2020,23.38,24.61,27.43,20.87,55.7
2021,23.35,24.53,27.67,21.33,56.3
